time_stamp,influencer,promoter,influncer_tweet,promoter_tweet,influencer_tweet_likes,promoter_tweet_likes,influencer_tweet_text,promoter_tweet_text
"6:55 AM · Oct 11, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447455813002477569?s=20,,2.0,,"I believe in $SHIB $ADA and $FEG.

I also think $HAKA will make a lot of #NFT  millionaires with the amazing opportunities on the @tribeonedefi platform."
"6:56 AM · Oct 11, 2021",https://twitter.com/girlgone_crypto,https://twitter.com/ArlissCrab,https://twitter.com/girlgone_crypto/status/1447409417331249153,https://twitter.com/ArlissCrab/status/1447456142121185280?s=20,793,1.0,looks like we might be in for a bullish week ,"Yes!!!
I'm already feeling bullish with $HAKA which has been going A new ATH is near for $HAKA"
"6:58 AM · Oct 11, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447456666132307972?s=20,,1.0,,I'll say the feeling will be worse if one does not Hodl and Stake $HAKA of @tribeonedefi at this time.
"6:59 AM · Oct 11, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447456920726642690?s=20,,1.0,,"Yes @Zoeyfx_ 

I'm very much bullish on $HAKA today"
"7:08 AM · Oct 11, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447459052171235328?s=20,,1.0,,I'm also HODLing $HAKA of @tribeonedefi with diamond hands 
"7:20 AM · Oct 11, 2021",https://twitter.com/Ralvero,https://twitter.com/ArlissCrab,https://twitter.com/Ralvero/status/1447436975057801216,https://twitter.com/ArlissCrab/status/1447462099693748226?s=20,163,1.0,Good Morning money makers! New week so let’s find gems! ,"Check out $HAKA of @tribeonedefi@tribeonedefi is the world’s first truly AI-powered decentralized #NFT borrowing, lending, and credit risk platform.
I believe $HAKA has the potential to  soon once #dApps get launched by @tribeonedefi"
"7:46 AM · Oct 11, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447468594871296002?s=20,,1.0,,I choose $HAKA over fiat.
"10:46 AM · Oct 11, 2021",https://twitter.com/TrueCrypto28,https://twitter.com/sarah__georgia,https://twitter.com/TrueCrypto28/status/1447491457426808833,https://twitter.com/sarah__georgia/status/1447513855459045379?t=pg99PW4NOtc13XUxfwbwbQ&s=19,975,1.0,Which $Alts do we need to own now?,"You need to own $HAKA if you love nfts, as this #token is an nft funding platform

With $HAKA you have access to slot allocation on NFT finance, staking rewards , staking discount etc"
"10:59 AM · Oct 11, 2021",https://twitter.com/TheMoonCarl,https://twitter.com/JohnnyB_rock,https://twitter.com/TheMoonCarl/status/1447498135618691072,https://twitter.com/JohnnyB_rock/status/1447517168531292162?t=MRUwd94P3gIvEB-PLI6P6g&s=19,"5,124",,What altcoin will go 10x this week? ,"I believe $CVP will do 10x this week, the @powerpoolcvp team have been working on  projects that will help push the $CVP price.

I have my finger crossed and eagerly waiting for it's inevitable pump for this week"
"11:03 AM · Oct 11, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447518259943813123?t=8MiwSe6FPidrxHlfvnvOQw&s=19,,1.0,,"The #altcoin is $HAKA @tribeonedefi @tribeonedefi soon to release their #dApp ,which has awesome team, good fundamental, awesome tokenomic and great partners. 

This will really make all the difference in the price this week and help it do 10x"
"11:22 AM · Oct 11, 2021",https://twitter.com/TheMoonCarl,https://twitter.com/sarah__georgia,https://twitter.com/TheMoonCarl/status/1447497208845193218,https://twitter.com/sarah__georgia/status/1447522943312007176?t=z294zt5KWAXos8rKYtwjkw&s=19,"1,374",1.0,What’s an #altcoin you wish you never sold? ,"I have never sold any #altcoin yet, and not planning on selling anything for, not even my $HAKA even though it is the cheapest of my alts but has great  potentials and great fundamentals"
"11:40 AM · Oct 11, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447527525039624194?t=5iXvbe158F42RsHD22-wLA&s=19,,,,"@tribeonedefi the first #DeFi platform where the users can get loans by using their #NFTs and crypto-assets as collateral. A one stop shop for all financial needs like lending, borrowing, investing etc

Innovative lending space with the added features of rewarding regular users"
"11:46 AM · Oct 11, 2021",https://twitter.com/Crypto__emily,https://twitter.com/sarah__georgia,https://twitter.com/Crypto__emily/status/1447524286089080833,https://twitter.com/sarah__georgia/status/1447528963228774402?t=8tOkQgdXLLfPVROu9cUAGw&s=19,346,2.0," and _________ !!

Fill in the gap. 
What coin is missing??","You are missing my fav coin $HAKA 

This week will be bullish for it too with all its candles shinning greenly"
"11:57 AM · Oct 11, 2021",,https://twitter.com/sarah__georgia,,https://twitter.com/sarah__georgia/status/1447531811295449090?t=3qQwFpM0tFFAMTlqniSbNg&s=19,,2.0,,"I am #HODLing $XLM , although not really my favorite, my favorite is none other than $HAKA @tribeonedefi @tribeonedefi a lending , borrowing and investing platform where users can get loans using their #nft and crypto assests as collateral"
"12:08 PM · Oct 11, 2021",https://twitter.com/krakenfx,https://twitter.com/sarah__georgia,https://twitter.com/krakenfx/status/1447532562721779717,https://twitter.com/sarah__georgia/status/1447534459637665797?t=sL1na-Hm-ZjIJvRn-9KvtA&s=19,"2,363",6.0," List three cryptocurrencies you are watching right now:

1. 
2. 
3.","Watching with keen attention $HAKA, $UNO and $BTC"
"2:54 PM · Oct 11, 2021",https://twitter.com/krakenfx,https://twitter.com/ArlissCrab,https://twitter.com/krakenfx/status/1447532562721779717,https://twitter.com/ArlissCrab/status/1447576342233497602?s=20,"2,363",1.0," List three cryptocurrencies you are watching right now:

1. 
2. 
3.","The top 3 Cryptocurrencies which I have my eyes set on are:
1. $HAKA2. $BTC3. $CVR"
"2:57 PM · Oct 11, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447577117437440002?s=20,,1.0,,My new favourite coin is $HAKA of @tribeonedefi @tribeonedefi offers #NFT products which connects the DeFi ecosystem to the #NFT market where the users can get loans against their #NFT or purchase a certain #NFT.
"3:20 PM · Oct 11, 2021",https://twitter.com/clairemillerfx_,https://twitter.com/ArlissCrab,https://twitter.com/clairemillerfx_/status/1447428787860238338,https://twitter.com/ArlissCrab/status/1447582797191864327?s=20,375,1.0,"If someone sent you 30000 $ADA , would you hold or sell immediately?","I'll HODL about 40% and sell the rest to invest in $HAKA of @tribeonedefi 

I trust @tribeonedefi  with its originality and bringing innovation in the crypto sphere with diverse #NFT options"
"3:24 PM · Oct 11, 2021",,https://twitter.com/ArlissCrab,,https://twitter.com/ArlissCrab/status/1447583974298107906?s=20,,1.0,,"This week would be BULLISH and VITAL for $BTC, $ETH  and $HAKA"
"3:30 PM · Oct 11, 2021",https://twitter.com/Crypto__Diva,https://twitter.com/ArlissCrab,https://twitter.com/Crypto__Diva/status/1447566992194654215,https://twitter.com/ArlissCrab/status/1447585325631553545?s=20,38,1.0,SEND IT ALL ,"I'm Hodling $ETH and $ADA from your list.

I also HODLing $HAKA of @tribeonedefi  which will soon explode once the #dApps gets launched."
